"rules","support","confidence","lift"
"{pot plants} => {whole milk}",0.00691337942252948,0.4,1.56561878233187
"{pasta} => {whole milk}",0.00610004066693778,0.405405405405405,1.58677579290393
"{herbs} => {root vegetables}",0.00701504676697845,0.43125,3.9568796641791
"{herbs} => {other vegetables}",0.00772671817812119,0.475,2.45512348922754
"{herbs} => {whole milk}",0.00772671817812119,0.475,1.8591723040191
"{processed cheese} => {whole milk}",0.00701504676697845,0.423312883435583,1.65686650277453
"{semi-finished bread} => {whole milk}",0.00711671411142741,0.402298850574713,1.57461659142574
"{beverages} => {whole milk}",0.00681171207808052,0.26171875,1.02437947672105
"{detergent} => {other vegetables}",0.00640504270028467,0.333333333333333,1.7228936766509
"{detergent} => {whole milk}",0.00894672631150874,0.465608465608466,1.82241339742335
"{pickled vegetables} => {other vegetables}",0.00640504270028467,0.357954545454545,1.85015286867625
"{pickled vegetables} => {whole milk}",0.00711671411142741,0.397727272727273,1.55672322106863
"{baking powder} => {other vegetables}",0.00732004880032534,0.413793103448276,2.13876456411836
"{baking powder} => {whole milk}",0.00925172834485563,0.522988505747126,2.04700156885346
"{flour} => {other vegetables}",0.00630337535583571,0.362573099415205,1.87402470091852
"{flour} => {whole milk}",0.00843838958926393,0.485380116959064,1.89980056920388
"{soft cheese} => {other vegetables}",0.00711671411142741,0.416666666666667,2.15361709581363
"{soft cheese} => {whole milk}",0.00752338348922326,0.44047619047619,1.72404449244879
"{specialty bar} => {soda}",0.00721838145587637,0.263940520446097,1.51377198781796
"{misc. beverages} => {soda}",0.00732004880032534,0.258064516129032,1.48007147559485
"{grapes} => {tropical fruit}",0.00610004066693778,0.272727272727273,2.59936575052854
"{grapes} => {other vegetables}",0.00904839365595771,0.404545454545455,2.09096641666269
"{grapes} => {whole milk}",0.00732004880032534,0.327272727272727,1.2809608219079
"{cat food} => {yogurt}",0.00620170801138674,0.266375545851528,1.90967191617758
"{cat food} => {other vegetables}",0.00650671004473363,0.279475982532751,1.44452220924442
"{cat food} => {whole milk}",0.00884505896705978,0.379912663755459,1.4869960050532
"{specialty chocolate} => {whole milk}",0.00803172021146808,0.264214046822742,1.034146185654
"{meat} => {rolls/buns}",0.00691337942252948,0.267716535433071,1.45564391515737
"{meat} => {other vegetables}",0.00996339975599837,0.385826771653543,1.99421551549356
"{meat} => {whole milk}",0.00996339975599837,0.385826771653543,1.51014410106815
"{frozen meals} => {other vegetables}",0.00752338348922326,0.265232974910394,1.37090464593728
"{frozen meals} => {whole milk}",0.00986173241154941,0.347670250896057,1.36079768715226
"{hard cheese} => {yogurt}",0.00640504270028467,0.261410788381743,1.8740790922178
"{hard cheese} => {other vegetables}",0.00945506303375356,0.385892116182573,1.99455326052117
"{hard cheese} => {whole milk}",0.0100650671004473,0.410788381742739,1.60784501505037
"{butter milk} => {yogurt}",0.00854005693371289,0.305454545454545,2.18983302411874
"{butter milk} => {rolls/buns}",0.00762505083367222,0.272727272727273,1.4828885873662
"{butter milk} => {other vegetables}",0.0103700691337942,0.370909090909091,1.91711078201882
"{butter milk} => {whole milk}",0.0115900772671818,0.414545454545455,1.62255037441667
"{candy} => {soda}",0.00864172427816185,0.289115646258503,1.6581583070546
